x y z
-1.276 1.735 0.414
-1.276 1.939 0.418
-1.276 2.143 0.415
-1.276 2.347 0.406
-1.276 2.551 0.409
-1.276 2.755 0.420
-1.276 2.959 0.424
-1.276 3.163 0.418
-1.276 3.367 0.400
-1.276 3.571 0.373
-1.276 3.776 0.337
-1.276 3.980 0.294
-1.276 4.184 0.246
-1.276 4.388 0.193
-1.276 4.592 0.137
-1.276 4.796 0.077
-1.276 5.000 0.015
-1.173 -5.000 1.287
-1.173 -4.796 1.223
-1.173 -4.592 1.158
-1.173 -4.388 1.090
-1.173 -4.184 1.019
-1.173 -3.980 0.945
-1.173 -3.776 0.868
-1.173 -3.571 0.785
-1.173 -3.367 0.700
-1.173 -3.163 0.616
-1.173 -2.959 0.532
-1.173 -2.755 0.450
-1.173 -2.551 0.370
-1.173 -2.347 0.291
-1.173 -2.143 0.213
-1.173 -1.939 0.136
-1.173 -1.735 0.061
-1.173 -1.531 0.005
-1.173 -1.327 0.038
-1.173 -1.122 0.070
-1.173 -0.918 0.101
-1.173 -0.714 0.133
-1.173 -0.510 0.164
-1.173 -0.306 0.195
-1.173 -0.102 0.226
-1.173 0.102 0.256
-1.173 0.306 0.285
-1.173 0.510 0.313
-1.173 0.714 0.341
-1.173 0.918 0.366
-1.173 1.122 0.389
-1.173 1.327 0.408
-1.173 1.531 0.423
-1.173 1.735 0.432
-1.173 1.939 0.434
-1.173 2.143 0.429
-1.173 2.347 0.424
-1.173 2.551 0.438
-1.173 2.755 0.452
-1.173 2.959 0.455
-1.173 3.163 0.445
-1.173 3.367 0.424
-1.173 3.571 0.392
-1.173 3.776 0.352
-1.173 3.980 0.306
-1.173 4.184 0.255
-1.173 4.388 0.200
-1.173 4.592 0.142
-1.173 4.796 0.081
-1.173 5.000 0.017
-1.071 -5.000 1.226
-1.071 -4.796 1.161
-1.071 -4.592 1.094
-1.071 -4.388 1.025
-1.071 -4.184 0.952
-1.071 -3.980 0.876
-1.071 -3.776 0.794
-1.071 -3.571 0.710
-1.071 -3.367 0.626
-1.071 -3.163 0.543
-1.071 -2.959 0.462
-1.071 -2.755 0.381
-1.071 -2.551 0.302
-1.071 -2.347 0.224
-1.071 -2.143 0.148
-1.071 -1.939 0.073
-1.071 -1.735 0.000
-1.071 -1.531 0.033
-1.071 -1.327 0.064
-1.071 -1.122 0.096
-1.071 -0.918 0.127
-1.071 -0.714 0.158
-1.071 -0.510 0.188
-1.071 -0.306 0.219
-1.071 -0.102 0.249
-1.071 0.102 0.278
-1.071 0.306 0.307
-1.071 0.510 0.335
-1.071 0.714 0.362
-1.071 0.918 0.387
-1.071 1.122 0.409
-1.071 1.327 0.428
-1.071 1.531 0.441
-1.071 1.735 0.449
-1.071 1.939 0.449
-1.071 2.143 0.441
-1.071 2.347 0.451
-1.071 2.551 0.473
-1.071 2.755 0.487
-1.071 2.959 0.486
-1.071 3.163 0.471
-1.071 3.367 0.444
-1.071 3.571 0.408
-1.071 3.776 0.364
-1.071 3.980 0.315
-1.071 4.184 0.261
-1.071 4.388 0.203
-1.071 4.592 0.143
-1.071 4.796 0.081
-1.071 5.000 0.016
-0.969 -5.000 1.164
-0.969 -4.796 1.098
-0.969 -4.592 1.029
-0.969 -4.388 0.958
-0.969 -4.184 0.882
-0.969 -3.980 0.802
-0.969 -3.776 0.718
-0.969 -3.571 0.635
-0.969 -3.367 0.553
-0.969 -3.163 0.471
-0.969 -2.959 0.391
-0.969 -2.755 0.312
-0.969 -2.551 0.234
-0.969 -2.347 0.158
-0.969 -2.143 0.083
-0.969 -1.939 0.009
-0.969 -1.735 0.028
-0.969 -1.531 0.060
-0.969 -1.327 0.091
-0.969 -1.122 0.122
-0.969 -0.918 0.153
-0.969 -0.714 0.183
-0.969 -0.510 0.213
-0.969 -0.306 0.243
-0.969 -0.102 0.272
-0.969 0.102 0.302
-0.969 0.306 0.330
-0.969 0.510 0.357
-0.969 0.714 0.384
-0.969 0.918 0.408
-0.969 1.122 0.429
-0.969 1.327 0.447
